request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_28,689.4000000000001,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_30,775.2,not_affordable,not_recommended,none,2026-04-06,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_31,13840360.0,not_affordable,not_recommended,none,2024-09-15,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_32,33305.8,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_33,65180.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_35,125130.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_36,1446.6,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_37,12068800.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_38,379.4,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_40,851.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_43,13988750.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_44,74560.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_45,8833100.0,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_46,49450.0,not_affordable,not_recommended,none,2024-12-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_49,20228793.340000004,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.0,2025-08-06,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870.0,2024-06-05,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_53,1423.42,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
request_54,16581.4,not_affordable,not_recommended,none,,none,"Based on your current balance and 90-day forecast, this is the recommended action. (LLM error: Error calling model 'gemini-3.5-flash' (PERMISSION_DENIED): 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your API key was reported as leaked. Please use another API key.', 'status': 'PERMISSION_DENIED'}})"
